식품명,에너지(㎉),탄수화물(g),단백질(g),지방(g)
슈퍼디럭스(오리지널 L) (248g당),625,0,32,0
슈퍼디럭스(오리지널 M) (134g당),307,0,17,0
슈퍼디럭스(나폴리L) (150g당),386,0,19,0
슈퍼디럭스(나폴리M) (107g당),251,0,12,0
슈퍼디럭스(씬 L) (118g당),282,0,15,0
슈퍼디럭스(씬 M) (186g당),450,0,24,0
슈퍼디럭스(슈퍼시드 함유 도우L) (155g당),393,0,20,0
슈퍼디럭스(슈퍼시드 함유 도우M) (133g당),332,0,14,0
슈퍼디럭스 더블치즈엣지(오리지널 L) (149g당),373,0,16,0
슈퍼디럭스 더블치즈엣지(오리지널 M) (159g당),359,0,19,0
슈퍼슈프림(오리지널 L) (188g당),452,0,24,0
슈퍼슈프림(오리지널 M) (151g당),321,0,17,0
슈퍼슈프림(나폴리L) (168g당),366,0,20,0
슈퍼슈프림(나폴리M) (123g당),246,0,14,0
슈퍼슈프림(씬 L) (139g당),291,0,16,0
슈퍼슈프림(씬 M) (111g당),236,0,13,0
슈퍼슈프림(슈퍼시드 함유 도우L) (120g당),251,0,15,0
슈퍼슈프림(슈퍼시드 함유 도우M) (146g당),335,0,15,0
슈퍼슈프림 더블치즈엣지(오리지널 L) (165g당),385,0,19,0
슈퍼슈프림 더블치즈엣지(오리지널 M) (172g당),374,0,21,0
와규 앤 비스테카(오리지널 L) (193g당),433,0,24,0
와규 앤 비스테카(오리지널 M) (130g당),305,0,14,0
와규 앤 비스테카(나폴리L) (154g당),377,0,16,0
와규 앤 비스테카(나폴리M) (107g당),247,0,16,0
와규 앤 비스테카(씬 L) (130g당),306,0,18,0
와규 앤 비스테카(씬 M) (179g당),477,0,23,0
와규 앤 비스테카(슈퍼시드 함유 도우L) (104g당),262,0,12,0
와규 앤 비스테카(슈퍼시드 함유 도우M) (131g당),306,0,13,0
와규 앤 비스테카 더블치즈엣지(오리지널 L) (156g당),354,0,16,0
와규 앤 비스테카 더블치즈엣지(오리지널 M) (163g당),388,0,19,0
우리 고구마(오리지널 L) (198g당),484,0,25,0
우리 고구마(오리지널 M) (128g당),321,0,13,0
우리 고구마(나폴리L) (157g당),372,0,15,0
우리 고구마(나폴리M) (107g당),273,0,11,0
우리 고구마(씬 L) (134g당),311,0,12,0
우리 고구마(씬 M) (175g당),482,0,19,0
우리 고구마(슈퍼시드 함유 도우L) (109g당),277,0,10,0
우리 고구마(슈퍼시드 함유 도우M) (130g당),338,0,13,0
우리 고구마 더블치즈엣지(오리지널 L) (166g당),399,0,15,0
우리 고구마 더블치즈엣지(오리지널 M) (156g당),399,0,18,0
직화 스테이크(오리지널 L) (193g당),482,0,22,0
직화 스테이크(오리지널 M) (126g당),304,0,14,0
직화 스테이크(나폴리L) (160g당),370,0,20,0
직화 스테이크(나폴리M) (100g당),240,0,12,0
직화 스테이크(씬 L) (134g당),314,0,16,0
직화 스테이크(씬 M) (162g당),444,0,20,0
직화 스테이크(슈퍼시드 함유 도우L) (110g당),308,0,14,0
직화 스테이크(슈퍼시드 함유 도우M) (124g당),308,0,14,0
직화 스테이크 더블치즈엣지(오리지널 M) (162g당),406,0,18,0
직화 스테이크 더블치즈엣지(오리지널 L) (194g당),480,0,24,0
치즈(오리지널 L) (151g당),364,0,20,0
치즈(오리지널 M) (191g당),466,0,24,0
치즈(나폴리L) (112g당),285,0,15,0
치즈(나폴리M) (136g당),352,0,19,0
치즈(씬 L) (116g당),305,0,18,0
치즈(씬 M) (110g당),314,0,17,0
치즈(슈퍼시드 함유 도우L) (124g당),374,0,20,0
치즈(슈퍼시드 함유 도우M) (191g당),491,0,24,0
치즈 더블치즈엣지(오리지널 L) (112g당),292,0,14,0
치즈가든(오리지널 L) (243g당),601,0,29,0
치즈가든(오리지널 M) (109g당),250,0,10,0
치즈가든(나폴리L) (132g당),287,0,14,0
치즈가든(나폴리M) (171g당),363,0,16,0
치즈가든(씬 L) (100g당),209,0,9,0
치즈가든(씬 M) (137g당),303,0,12,0
치즈가든(슈퍼시드 함유 도우L) (114g당),249,0,10,0
치즈가든(슈퍼시드 함유 도우M) (109g당),245,0,11,0
치즈가든 더블치즈엣지(오리지널 L) (129g당),296,0,11,0
치즈가든 더블치즈엣지(오리지널 M) (138g당),316,0,15,0
치즈피자 더블치즈엣지(오리지널 M) (168g당),380,0,19,0
페퍼로니(오리지널 L) (145g당),397,0,20,0
페퍼로니(오리지널 M) (102g당),271,0,14,0
페퍼로니(나폴리L) (118g당),327,0,16,0
페퍼로니(나폴리M) (148g당),426,0,24,0
페퍼로니(씬 L) (127g당),384,0,20,0
페퍼로니(씬 M) (131g당),386,0,22,0
페퍼로니(슈퍼시드 함유 도우L) (109g당),336,0,18,0
페퍼로니(슈퍼시드 함유 도우M) (105g당),283,0,14,0
페퍼로니 더블치즈엣지(오리지널 L) (124g당),341,0,16,0
페퍼로니 더블치즈엣지(오리지널 M) (124g당),341,0,16,0
포테이토(오리지널 L) (147g당),403,0,20,0
포테이토(오리지널 M) (139g당),322,0,15,0
포테이토(나폴리L) (149g당),352,0,16,0
포테이토(나폴리M) (115g당),260,0,15,0
포테이토(씬 L) (122g당),292,0,16,0
포테이토(씬 M) (103g당),224,0,12,0
포테이토(슈퍼시드 함유 도우L) (109g당),243,0,12,0
포테이토(슈퍼시드 함유 도우M) (139g당),317,0,15,0
포테이토 더블치즈엣지(오리지널 L) (150g당),350,0,16,0
포테이토 더블치즈엣지(오리지널 M) (154g당),362,0,18,0
핫치킨(오리지널 L) (174g당),422,0,21,0
핫치킨(오리지널 M) (119g당),287,0,13,0
핫치킨(나폴리L) (144g당),346,0,15,0
핫치킨(나폴리M) (188g당),466,0,22,0
핫치킨(씬 L) (114g당),274,0,14,0
핫치킨(씬 M) (152g당),410,0,20,0
핫치킨(슈퍼시드 함유 도우L) (132g당),323,0,15,0
핫치킨(슈퍼시드 함유 도우M) (119g당),297,0,13,0
핫치킨 더블치즈엣지(오리지널 L) (146g당),361,0,16,0
핫치킨 더블치즈엣지(오리지널 M) (143g당),356,0,18,0
먹물 오징어링 (182g당),441,0,22,0
슈퍼곡물 치킨(10조각) (105g당),650,0,17,0
옥수수 버터구이(6개) (178g당),481,0,36,0
치킨퐁듀 그라탕 (176g당),370,0,36,0
퀴노아 치킨 샐러드 (358g당),827,0,32,0
트러플 리조또 (137g당),121,0,8,0
포테이토 순살치킨(3조각) (285g당),650,0,17,0
프레시 코울슬로 (305g당),729,0,42,0
프레시 콘샐러드 (100g당),133,0,1,0
프렌치 라따뚜이 (100g당),135,0,2,0
하프&하프 스파게티 (NEW 치즈 & 화이트 크림) (329g당),382,0,20,0
화이트 크림 스파게티 (395g당),705,0,28,0
NEW 치즈 볼로네즈 스파게티 (392g당),851,0,29,0
티본스테이크&쉬림프(클래식)M (188g당),433,0,22,0
티본스테이크&쉬림프(클래식)L (101g당),226,0,11,0
티본스테이크&쉬림프(크런치)M (123g당),292,0,13,0
티본스테이크&쉬림프(크런치)L (121g당),292,0,13,0
티본스테이크&쉬림프(리치골드)M (118g당),286,0,14,0
티본스테이크&쉬림프(리치골드)L (113g당),274,0,13,0
티본스테이크&쉬림프(치즈크러스트)M (106g당),260,0,14,0
티본스테이크&쉬림프(치즈크러스트)L (105g당),254,0,13,0
더블치즈 티본스테이크(클래식)M (196g당),466,0,23,0
더블치즈 티본스테이크(클래식)L (199g당),471,0,22,0
더블치즈 티본스테이크(크런치)M (117g당),284,0,13,0
더블치즈 티본스테이크(크런치)L (118g당),285,0,13,0
더블치즈 티본스테이크(리치골드)M (115g당),282,0,14,0
더블치즈 티본스테이크(리치골드)L (110g당),267,0,13,0
더블치즈 티본스테이크(치즈크러스트)M (103g당),257,0,14,0
더블치즈 티본스테이크(치즈크러스트)L (101g당),248,0,13,0
쉬림프올인(클래식)M (192g당),392,0,23,0
쉬림프올인(클래식)L (100g당),207,0,12,0
쉬림프올인(크런치)M (117g당),274,0,12,0
쉬림프올인(크런치)L (124g당),290,0,13,0
쉬림프올인(리치골드)M (116g당),274,0,14,0
쉬림프올인(리치골드)L (116g당),270,0,13,0
쉬림프올인(치즈크러스트)M (104g당),247,0,13,0
쉬림프올인(치즈크러스트)L (107g당),249,0,13,0
갈릭버터쉬림프(클래식)M (187g당),440,0,21,0
갈릭버터쉬림프(클래식)L (101g당),233,0,11,0
갈릭버터쉬림프(크런치)M (120g당),294,0,13,0
갈릭버터쉬림프(크런치)L (127g당),312,0,14,0
갈릭버터쉬림프(리치골드)M (119g당),294,0,15,0
갈릭버터쉬림프(리치골드)L (118g당),293,0,15,0
갈릭버터쉬림프(치즈크러스트)M (107g당),266,0,14,0
갈릭버터쉬림프(치즈크러스트)L (110g당),271,0,14,0
토핑킹(크런치)M (118g당),297,0,13,0
토핑킹(크런치)L (123g당),310,0,14,0
토핑킹(리치골드)M (117g당),297,0,16,0
토핑킹(리치골드)L (114g당),291,0,15,0
토핑킹(치즈크러스트)M (105g당),270,0,14,0
토핑킹(치즈크러스트)L (106g당),269,0,14,0
치즈킹(크런치)M (123g당),322,0,15,0
치즈킹(크런치)L (126g당),331,0,15,0
치즈킹(리치골드)M (122g당),322,0,17,0
치즈킹(리치골드)L (117g당),311,0,17,0
치즈킹(치즈크러스트)M (110g당),295,0,16,0
치즈킹(치즈크러스트)L (109g당),290,0,16,0
큐브스테이크(크런치)M (121g당),304,0,12,0
큐브스테이크(크런치)L (129g당),321,0,13,0
큐브스테이크(리치골드)M (120g당),304,0,15,0
큐브스테이크(리치골드)L (121g당),301,0,14,0
큐브스테이크(치즈크러스트)M (108g당),276,0,14,0
큐브스테이크(치즈크러스트)L (113g당),280,0,13,0
갈릭마블 스테이크(크런치)M (118g당),284,0,12,0
갈릭마블 스테이크(크런치)L (124g당),300,0,13,0
갈릭마블 스테이크(리치골드)M (117g당),284,0,13,0
갈릭마블 스테이크(리치골드)L (116g당),300,0,14,0
갈릭마블 스테이크(치즈크러스트)M (105g당),257,0,13,0
갈릭마블 스테이크(치즈크러스트)L (107g당),259,0,13,0
쉬림프&스테이크 올인(크런치)M (117g당),278,0,12,0
쉬림프&스테이크 올인(크런치)L (123g당),294,0,13,0
쉬림프&스테이크 올인(리치골드)M (119g당),292,0,14,0
쉬림프&스테이크 올인(리치골드)L (119g당),290,0,14,0
쉬림프&스테이크 올인(치즈크러스트)M (104g당),250,0,13,0
쉬림프&스테이크 올인(치즈크러스트)L (106g당),253,0,13,0
직화불고기(크런치)M (108g당),296,0,13,0
직화불고기(크런치)L (113g당),308,0,13,0
직화불고기(리치골드)M (107g당),296,0,15,0
직화불고기(리치골드)L (104g당),289,0,14,0
직화불고기(치즈크러스트)M (191g당),536,0,28,0
직화불고기(치즈크러스트)L (192g당),535,0,26,0
수퍼슈프림(크런치)M (115g당),285,0,12,0
수퍼슈프림(크런치)L (126g당),309,0,13,0
수퍼슈프림(리치골드)M (113g당),283,0,14,0
수퍼슈프림(리치골드)L (117g당),289,0,15,0
수퍼슈프림(치즈크러스트)M (102g당),256,0,13,0
수퍼슈프림(치즈크러스트)L (108g당),267,0,14,0
